Name,Thai Name,Coordinates
Mu Ko Kom,หมู่เกาะกำ,
    Ko Kam,เกาะกำ,
    Ko Kam Tok,เกาะกำตก,
    Ko Kam Yai,,
    Ko Kam Nui,,
Ko Surin Nua,,
    Ko Surin Tai,,
    Ko Ri,,
    Ko Kai,,
    Ko Klang,,
Ko Similan,เกาะสิมิลัน,8.65°N 97.65°E
Ko Bangu,,8.654°N 97.650°E
Ko Payu,,8.590°N 97.638°E
Ko Miang,,8.600°N 97.637°E
Ko Payang,,8.498°N 97.646°E
Ko Huyang,,8.479°N 97.650°E
Ko Tachai,,
Ko Born,,
Ko Ra,,
Ko Kad,,
Ko Ko Khao,,
Ko Phra Thong,,
Ko Thung Nang Dam,,
Ko Nom Sao,เกาะนมสาว,8°4′47″N 98°37′38″E
Ko Kaya,,
Ko Raya Ring,,
Ko Ping Kan,เกาะเขาพิงกัน,
Ko Mak,,
Ko Na Khae,,
Ko Tapu,เกาะตะปู,8°16′31.36″N98°30′02.02″E
Ko Hong,,
Ko Nakaya,,
Ko Nakae,,
Ko Yai,,
Ko Batang,,
Ko Rai,,
Ko Boi Noi,,
Ko Boi Yai,,
Ko Dang,,
Ko Kudu Yai,,
Ko Nui,,
Ko Sup,,
Ko Panyi,เกาะปันหยี,
Ko Panak,,
Ko Yao Yai,เกาะยาวใหญ่,
Ko Yao Noi,เกาะยาวน้อย,
Ko Rung Nok,,
Mu Ko Phi Phi,หมู่เกาะพีพี,
    Ko Phi Phi Don,เกาะพีพีดอน,
    Ko Phi Phi Leh,เกาะพีพีเล,
    Ko Bida Nok,เกาะปิดะนอก,
    Ko Bida Noi,เกาะปิดะใน,
Ko Mai Phai,เกาะไม้ไฟ่,
Ko Phai,เกาะไฟ่,
Ko Yoong,เกาะยูง,
Ko Chong Lat,,
Ko Phudu Yai,,
Ko Pak Bia,,
Ko Hong (Krabi),,
Ko Kapang,,
Ko Ngang,,
Ko Pu,เกาะปู,7°58′N 98°20′E
Ko Siboya,เกาะปู,7°58′N 98°20′E
Ko Jum,เกาะปู,7°58′N 98°20′E
"Ko Kai, Krabi",เกาะไก่,7°58′N 98°20′E
Ko Pli,เกาะไก่,7°58′N 98°20′E
Ko Lek,เกาะไก่,7°58′N 98°20′E
Ko Lapu Le,เกาะไก่,7°58′N 98°20′E
Ko A Dang,เกาะไก่,7°58′N 98°20′E
Ko Poda,,7°58′N 98°20′E
Ko Lanta Yai,เกาะลันตาใหญ่,7°35′N 99°03′E
Ko Lanta Noi,เกาะลันตาน้อย,7°35′N 99°03′E
Ko Bu Bu,,7°35′N 99°03′E
Ko Po,,7°35′N 99°03′E
Ko Klang (Krabi),,7°35′N 99°03′E
Ko Ma,,7°35′N 99°03′E
Ko Ha,,7°35′N 99°03′E
Phuket,ภูเก็ต,7°58′N 98°20′E
Ko Lon,เกาะโหลน,7°58′N 98°20′E
Ko Mai Thon,เกาะไม้ท่อน,7°58′N 98°20′E
Ko Maphrao,เกาะมะพร้าว,7°58′N 98°20′E
Ko Ngam (Phuket),เกาะงำ,7°58′N 98°20′E
Ko Naka Yai,เกาะนาคาใหญ่,7°58′N 98°20′E
Ko Naka Noi,เกาะนาคาน้อย,7°58′N 98°20′E
Ko Raet,เกาะแรด,7°58′N 98°20′E
Ko Siray,เกาะสิเหร่,7°58′N 98°20′E
Ko Rang Yai,เกาะรังใหญ่,7°58′N 98°20′E
Ko Rang Noi,เกาะรังน้อย,7°58′N 98°20′E
Ko Tapao,เกาะตะเภา,7°58′N 98°20′E
Ko Kaeo Yai,เกาะแก้วใหญ่,7°58′N 98°20′E
Ko Kaeo,เกาะแก้ว,7°58′N 98°20′E
Ko Bon,เกาะบอน,7°58′N 98°20′E
Ko Hae,เกาะเฮ,7°58′N 98°20′E
Ko Aeo,เกาะแอว,7°58′N 98°20′E
Ko Nom Sao,เกาะนมสาว,8°4′47″N 98°37′38″E
Ko Kaya,,
Ko Raya Ring,,
Ko Ping Kan,เกาะเขาพิงกัน,
Ko Mak,,
Ko Na Khae,,
Ko Tapu,เกาะตะปู,8°16′31.36″N98°30′02.02″E
Ko Hong,,
Ko Nakaya,,
Ko Nakae,,
Ko Yai,,
Ko Batang,,
Ko Rai,,
Ko Boi Noi,,
Ko Boi Yai,,
Ko Dang,,
Ko Kudu Yai,,
Ko Nui,,
Ko Sup,,
Ko Panyi,เกาะปันหยี,
Ko Panak,,
Ko Yao Yai,เกาะยาวใหญ่,
Ko Yao Noi,เกาะยาวน้อย,
Ko Rung Nok,,
Mu Ko Phi Phi,หมู่เกาะพีพี,
    Ko Phi Phi Don,เกาะพีพีดอน,
    Ko Phi Phi Leh,เกาะพีพีเล,
    Ko Bida Nok,เกาะปิดะนอก,
    Ko Bida Noi,เกาะปิดะใน,
Ko Mai Phai,เกาะไม้ไฟ่,
Ko Phai,เกาะไฟ่,
Ko Yoong,เกาะยูง,
Ko Chong Lat,,
Ko Phudu Yai,,
Ko Pak Bia,,
Ko Hong (Krabi),,
Ko Kapang,,
Ko Ngang,,
Ko Pu,เกาะปู,7°58′N 98°20′E
Ko Siboya,เกาะปู,7°58′N 98°20′E
Ko Jum,เกาะปู,7°58′N 98°20′E
"Ko Kai, Krabi",เกาะไก่,7°58′N 98°20′E
Ko Pli,เกาะไก่,7°58′N 98°20′E
Ko Lek,เกาะไก่,7°58′N 98°20′E
Ko Lapu Le,เกาะไก่,7°58′N 98°20′E
Ko A Dang,เกาะไก่,7°58′N 98°20′E
Ko Poda,,7°58′N 98°20′E
Ko Lanta Yai,เกาะลันตาใหญ่,7°35′N 99°03′E
Ko Lanta Noi,เกาะลันตาน้อย,7°35′N 99°03′E
Ko Bu Bu,,7°35′N 99°03′E
Ko Po,,7°35′N 99°03′E
Ko Klang (Krabi),,7°35′N 99°03′E
Ko Ma,,7°35′N 99°03′E
Ko Ha,,7°35′N 99°03′E
Phuket,ภูเก็ต,7°58′N 98°20′E
Ko Lon,เกาะโหลน,7°58′N 98°20′E
Ko Mai Thon,เกาะไม้ท่อน,7°58′N 98°20′E
Ko Maphrao,เกาะมะพร้าว,7°58′N 98°20′E
Ko Ngam (Phuket),เกาะงำ,7°58′N 98°20′E
Ko Naka Yai,เกาะนาคาใหญ่,7°58′N 98°20′E
Ko Naka Noi,เกาะนาคาน้อย,7°58′N 98°20′E
Ko Raet,เกาะแรด,7°58′N 98°20′E
Ko Siray,เกาะสิเหร่,7°58′N 98°20′E
Ko Rang Yai,เกาะรังใหญ่,7°58′N 98°20′E
Ko Rang Noi,เกาะรังน้อย,7°58′N 98°20′E
Ko Tapao,เกาะตะเภา,7°58′N 98°20′E
Ko Kaeo Yai,เกาะแก้วใหญ่,7°58′N 98°20′E
Ko Kaeo,เกาะแก้ว,7°58′N 98°20′E
Ko Bon,เกาะบอน,7°58′N 98°20′E
Ko Hae,เกาะเฮ,7°58′N 98°20′E
Ko Aeo,เกาะแอว,7°58′N 98°20′E
